model,problem,direct_sessions,metered_sessions,unmetered_sessions,turns,noncached_input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,known_total_tokens,coverage
gpt-codex-v2,T1-A1,3,3,0,102,306495,4453120,39911,17691,4799526,exact
gpt-codex-v2,T1-B1,3,3,0,77,198717,2655744,30943,15826,2885404,exact
gpt-codex-v2,T1-B2,3,3,0,194,523134,15615488,75398,37853,16214020,exact
gpt-codex-v2,T1-C1,6,6,0,246,613129,17935360,93826,43038,18642315,exact
gpt-codex-v2,T1-C2,3,3,0,90,285928,4133632,41115,18487,4460675,exact
gpt-codex-v2,T2-A1,4,4,0,139,343712,4228096,51393,25719,4623201,exact
gpt-codex-v2,T2-B1,6,6,0,209,531123,7006464,71078,36078,7608665,exact
gpt-codex-v2,T2-B2,3,3,0,89,277208,2950144,31502,15976,3258854,exact
gpt-codex-v2,T2-B3,3,3,0,108,261721,3101696,27301,10667,3390718,exact
gpt-codex-v2,T2-C1,4,4,0,135,377040,5520384,49817,23820,5947241,exact
gpt-codex-v2,T2-C2,4,4,0,172,439777,9669120,65274,26992,10174171,exact
gpt-codex-v2,T2-C3,3,3,0,178,493544,14265600,70334,27727,14829478,exact
gpt-codex-v2,T2-C4,3,3,0,188,439097,8964864,60103,26989,9464064,exact
gpt-codex-v2,T3-A1,3,3,0,83,252017,3296000,33351,15646,3581368,exact
gpt-codex-v2,T3-A2,3,3,0,83,246142,3407360,30351,14000,3683853,exact
gpt-codex-v2,T3-A3,3,3,0,92,329551,4215552,36640,17615,4581743,exact
gpt-codex-v2,T3-B1,4,3,1,139,248376,3358976,30259,13074,3637611,lower_bound
gpt-codex-v2,T3-B2,3,3,0,120,371289,6851840,48875,22923,7272004,exact
gpt-codex-v2,T3-C1,4,4,0,114,296721,4010752,40137,14087,4347610,exact
gpt-codex-v2,T3-C2,3,3,0,102,280371,3417856,37969,17870,3736196,exact
gpt-codex-v2,T3-C3,3,3,0,105,269462,3764224,36563,18060,4070249,exact
gpt-codex-v2,T3-C4,3,3,0,106,309040,4910592,40459,17390,5260091,exact
gpt-codex-v2,T3-C5,3,3,0,93,270014,3505664,34633,15721,3810311,exact
kimi-k3,T1-A1,13,0,13,548,,,,,,unavailable
kimi-k3,T1-B1,10,5,5,332,449485,8154624,178468,0,8782577,lower_bound
kimi-k3,T1-B2,28,5,23,1648,1503741,33276373,742910,0,35523024,lower_bound
kimi-k3,T1-C1,35,9,26,1049,891977,14668544,334469,0,15894990,lower_bound
kimi-k3,T1-C2,6,0,6,427,,,,,,unavailable
kimi-k3,T2-A1,7,0,7,245,,,,,,unavailable
kimi-k3,T2-B1,7,0,7,221,,,,,,unavailable
kimi-k3,T2-B2,18,0,18,596,,,,,,unavailable
kimi-k3,T2-B3,8,0,8,192,,,,,,unavailable
kimi-k3,T2-C1,6,0,6,200,,,,,,unavailable
kimi-k3,T2-C2,16,0,16,578,,,,,,unavailable
kimi-k3,T2-C3,7,0,7,281,,,,,,unavailable
kimi-k3,T2-C4,19,0,19,1058,,,,,,unavailable
kimi-k3,T3-A1,14,0,14,569,,,,,,unavailable
kimi-k3,T3-A2,8,0,8,148,,,,,,unavailable
kimi-k3,T3-A3,6,0,6,134,,,,,,unavailable
kimi-k3,T3-B1,15,0,15,564,,,,,,unavailable
kimi-k3,T3-B2,18,0,18,876,,,,,,unavailable
kimi-k3,T3-C1,4,4,0,91,266563,3841280,72985,0,4180828,exact
kimi-k3,T3-C2,14,0,14,445,,,,,,unavailable
kimi-k3,T3-C3,7,0,7,298,,,,,,unavailable
kimi-k3,T3-C4,15,0,15,451,,,,,,unavailable
kimi-k3,T3-C5,8,0,8,174,,,,,,unavailable
