model,problem,trajectory_sessions,provider_exact_sessions,reconstructed_sessions,provider_exact_calls,reconstructed_calls,failed_requests_excluded,exact_input_tokens,reconstructed_input_tokens,combined_input_tokens,exact_output_tokens,reconstructed_output_tokens,combined_output_tokens,combined_total_tokens,basis
kimi-k3,T1-A1,14,0,14,0,577,4,0,37873029,37873029,0,212471,212471,38085500,trajectory_reconstructed
kimi-k3,T1-B1,13,7,6,123,262,3,9127313,10789160,19916473,210032,105193,315225,20231698,hybrid
kimi-k3,T1-B2,33,8,25,356,1589,10,36056065,160757031,196813096,754494,619591,1374085,198187181,hybrid
kimi-k3,T1-C1,38,11,27,222,1057,16,17208191,86564509,103772700,347287,401732,749019,104521719,hybrid
kimi-k3,T1-C2,8,0,8,0,465,3,0,47387682,47387682,0,181342,181342,47569024,trajectory_reconstructed
kimi-k3,T2-A1,9,0,9,0,273,3,0,17629902,17629902,0,145204,145204,17775106,trajectory_reconstructed
kimi-k3,T2-B1,8,0,8,0,245,3,0,10490390,10490390,0,113225,113225,10603615,trajectory_reconstructed
kimi-k3,T2-B2,19,0,19,0,716,8,0,38681700,38681700,0,270570,270570,38952270,trajectory_reconstructed
kimi-k3,T2-B3,8,0,8,0,194,3,0,6470395,6470395,0,65907,65907,6536302,trajectory_reconstructed
kimi-k3,T2-C1,7,0,7,0,228,2,0,11531449,11531449,0,103807,103807,11635256,trajectory_reconstructed
kimi-k3,T2-C2,18,0,18,0,715,5,0,42880324,42880324,0,257332,257332,43137656,trajectory_reconstructed
kimi-k3,T2-C3,7,0,7,0,282,2,0,13901755,13901755,0,89098,89098,13990853,trajectory_reconstructed
kimi-k3,T2-C4,21,0,21,0,1619,10,0,188115870,188115870,0,651775,651775,188767645,trajectory_reconstructed
kimi-k3,T3-A1,14,0,14,0,585,4,0,31755977,31755977,0,197960,197960,31953937,trajectory_reconstructed
kimi-k3,T3-A2,8,0,8,0,152,3,0,4540643,4540643,0,45504,45504,4586147,trajectory_reconstructed
kimi-k3,T3-A3,7,0,7,0,163,1,0,5153355,5153355,0,49230,49230,5202585,trajectory_reconstructed
kimi-k3,T3-B1,15,0,15,0,582,4,0,31216057,31216057,0,229529,229529,31445586,trajectory_reconstructed
kimi-k3,T3-B2,19,0,19,0,1186,6,0,118862805,118862805,0,446166,446166,119308971,trajectory_reconstructed
kimi-k3,T3-C1,4,4,0,73,0,0,4107843,0,4107843,72985,0,72985,4180828,provider_exact
kimi-k3,T3-C2,16,0,16,0,1210,5,0,227301408,227301408,0,500624,500624,227802032,trajectory_reconstructed
kimi-k3,T3-C3,8,0,8,0,347,3,0,25228266,25228266,0,128834,128834,25357100,trajectory_reconstructed
kimi-k3,T3-C4,15,0,15,0,461,4,0,24715961,24715961,0,202736,202736,24918697,trajectory_reconstructed
kimi-k3,T3-C5,8,0,8,0,173,2,0,5774590,5774590,0,57024,57024,5831614,trajectory_reconstructed
